Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 56.25 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.61307233309724 at t = 14512.5 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     9112.5     23.1747391    |68.2955085    |8.52975241         23.0214149    |68.4612158    |8.51736935    |100           
    9168.75     22.9665199    |68.4223697    |8.61111045         22.8136384    |68.5875126    |8.59884891    |100           
     9225.0     22.7601715    |68.5472102    |8.69261827         22.6077373    |68.7117839    |8.68047879    |100           
    9281.25     22.5556771    |68.6700494    |8.77427348         22.4036945    |68.834049     |8.76225657    |100           
     9337.5     22.35302      |68.7909063    |8.8560737          22.2014932    |68.954327     |8.84417986    |100           
    9393.75     22.1521838    |68.9097996    |8.9380166          22.0011168    |69.0726368    |8.92624631    |100           
     9450.0     21.953152     |69.0267482    |9.02009983         21.802549     |69.1889975    |9.00845356    |100           
    9506.25     21.7559085    |69.1417704    |9.10232111         21.6057733    |69.3034274    |9.0907993     |100           
     9562.5     21.5604371    |69.2548847    |9.18467814         21.4107735    |69.4159453    |9.17328123    |100           
    9618.75     21.366722     |69.3661093    |9.26716867         21.2175337    |69.5265692    |9.25589707    |100           
     9675.0     21.1747474    |69.4754621    |9.34979046         21.026038     |69.6353175    |9.33864457    |100           
    9731.25     20.9844977    |69.582961     |9.43254129         20.8362705    |69.742208     |9.4215215     |100           
     9787.5     20.7959573    |69.6886238    |9.51541896         20.6482158    |69.8472585    |9.50452565    |100           
    9843.75     20.6091108    |69.7924679    |9.59842131         20.4618583    |69.9504868    |9.58765482    |100           
     9900.0     20.4239432    |69.8945107    |9.68154617         20.2771828    |70.0519103    |9.67090685    |100           
    9956.25     20.2404392    |69.9947694    |9.76479142         20.0941741    |70.1515463    |9.75427959    |100           
    10012.5     20.058584     |70.0932611    |9.84815494         19.912817     |70.249412     |9.83777092    |100           
   10068.75     19.8783626    |70.1900027    |9.93163464         19.7330968    |70.3455245    |9.92137872    |100           
    10125.0     19.6997606    |70.285011     |10.0152284         19.5549986    |70.4399005    |10.0051009    |100           
   10181.25     19.5227632    |70.3783025    |10.0989343         19.3785079    |70.5325567    |10.0889354    |100           
    10237.5     19.3473561    |70.4698938    |10.1827502         19.20361      |70.6235098    |10.1728802    |100           
   10293.75     19.173525     |70.559801     |10.266674          19.0302906    |70.7127762    |10.2569332    |100           
    10350.0     19.0012557    |70.6480404    |10.3507039         18.8585355    |70.800372     |10.3410925    |100           
   10406.25     18.8305342    |70.734628     |10.4348378         18.6883305    |70.8863134    |10.425356     |100           
    10462.5     18.6613466    |70.8195796    |10.5190738         18.5196617    |70.9706164    |10.5097218    |100           
   10518.75     18.4936791    |70.9029109    |10.60341           18.3525152    |71.0532968    |10.594188     |100           
    10575.0     18.3275181    |70.9846376    |10.6878443         18.1868773    |71.1343702    |10.6787525    |100           
   10631.25     18.1628499    |71.064775     |10.772375          18.0227343    |71.2138521    |10.7634136    |100           
    10687.5     17.9996613    |71.1433386    |10.8570001         17.8600727    |71.2917581    |10.8481692    |100           
   10743.75     17.8379389    |71.2203433    |10.9417178         17.6988792    |71.3681032    |10.9330176    |100           
    10800.0     17.6776695    |71.2958042    |11.0265262         17.5391406    |71.4429026    |11.0179568    |100           
   10856.25     17.5188401    |71.3697363    |11.1114235         17.3808436    |71.5161713    |11.102985     |100           
    10912.5     17.3614378    |71.4421543    |11.1964079         17.2239754    |71.5879242    |11.1881005    |100           
   10968.75     17.2054496    |71.5130727    |11.2814776         17.0685229    |71.6581758    |11.2733013    |100           
    11025.0     17.050863     |71.5825061    |11.3666309         16.9144734    |71.7269408    |11.3585857    |100           
   11081.25     16.8976653    |71.6504689    |11.4518658         16.7618143    |71.7942336    |11.443952     |100           
    11137.5     16.7458441    |71.7169751    |11.5371808         16.610533     |71.8600686    |11.5293984    |100           
   11193.75     16.5953869    |71.782039     |11.6225741         16.4606171    |71.9244598    |11.6149231    |100           
    11250.0     16.4462815    |71.8456745    |11.708044          16.3120542    |71.9874213    |11.7005245    |100           
   11306.25     16.2985158    |71.9078954    |11.7935888         16.1648321    |72.0489671    |11.7862008    |100           
    11362.5     16.1520778    |71.9687155    |11.8792067         16.0189388    |72.1091108    |11.8719504    |100           
   11418.75     16.0069554    |72.0281483    |11.9648963         15.8743622    |72.1678663    |11.9577715    |100           
